,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manually Add,Manually Add,Manually Add,Manually Add,,,Lookup from Alumni Report,Lookup from Alumni Report,I organized these columns to be in the beginning of the report for pivot table/reporting purposes,,,,,,,,,Manually Add,,,Manually Add,,Lookup from Student Affairs Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International,Filled out survey,APSIA Job Category,APSIA Sector Category,Date Reported - NEW,Outcome,Concentration,Degree,Sector,Detailed Industry,Organization Name,Division,Job Title,Job City,Job State,Job Country,Job Title,Master Salary for Employment Statistics,Salary Range,Salary,LinkedIn Outcome Findings,Citizenship Status,OSA Country of Citizenship Lookup,Job Location State,Job Location Country,Sector,Detailed Industry,Job Phase,Job Source,"If you are not employed, are you currently seeking employment?",Continuing Education Full-time?,Organization Name,Company Description,Include in Reporting,30 hrs per week,Approximately how many hours a week do you serve?,Country where serving,Date of Offer Received,Degree to be Pursued After Graduation,Do you have a three (3) year STEM OPT visa?,Employer consideration for STEM,Gender,Approximately how many hours each month do you plan to volunteer?,Is Approved,Military Rank,Name of School in case of Continued Education,Program Name,Returning to previous employer,Scope of Organization,Self-employed,Sponsorship by Employer,Standard Job Source,What type of Own Venture is this?,What is the name of the fellowship program?,What will your enrollment status be at this school?,When did you actively start applying for a full-time job?,Why are you not seeking employment?,Base Salary Pay Period,Carried Interest Pay Period,Expected Bonus Pay Period,Expected Commission Pay Period,Guaranteed Bonus Pay Period,I'm volunteering and not currently receiving compensation,Salary plus Bonuses,Total Compensation Pay Period,End Date,Length of Commitment,Reported Date,Start Date,What is your approximate start date?,City,Country,Job Location,Metro Area,Postal Code,US State / Canada Province,Did this job come as a result of an internship you had with this employer?,Is this a faculty position?,Is this a freelance position?,Is this a full-time position?,Is this a post-graduation internship?,Is this a temporary/contract job?,Is this a tenured position?,Is your position a fellowship?,Other Outcome Additional Details,Please provide other pertinent information about your job,Reason for Rejecting,Will you be or are you currently working under Optional Practical Training (OPT) status?,Working at a Recently Founded Organization
Yes,No,,,,Job,ENERGY AND ENVIRONMENT,MPA,Private,Consulting,London Economics International LLC,,Research Associate,"Boston, ",MA,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,International Security Policy,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,No Concentration,MPA-MDP,Private,Other – Business Services,LRQA,,Associate,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MIA,Private,Finance/Banking,LTSE,,Research Consultant,"San Francisco,",CA,United States,,,,,,,,CA,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,International Finance and Economic Policy,MPA,Public,Foreign Government,Madiun Customs and Excise Office,,Public Relations Manager,,,Indonesia,,,,,,,,,Indonesia,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MPA,Private,Finance/Banking,Manulife Investment Management,,Investment Analyst Intern,"Boston, ",MA,United States,,,,,,,,MA,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MPA,Private,Finance/Banking,Marathon Capital,,Investment Banking Analyst,"Chicago,",IL,United States,,,,,,,,IL,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,No Concentration,MPA-EPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/13/2023,Job,ENERGY AND ENVIRONMENT,MPA,Private,Finance/Banking,"Marathon Capital, LLC",N/A,Analyst,"Chicago,",IL,United States,Analyst,,"o	$105,000-$109,999","o	$105,000-$109,999",,,,IL,United States,Private,Finance/Banking,Post Graduation,Alumni Contact,,,,,Yes,Yes,,United States (USA),08/26/2022,,,,Male,,Yes,,,,No,,No,Yes,School Facilitated,,,,,,,per year,,,,,"$105,000 - Salary
$10,000 - Signing bonus",,,,06/13/2023,06/26/2023,06/26/2023,Chicago - IL,United States (USA),On Site,Chicago-Naperville-Michigan City -- IL-IN-WI,60606,Illinois,Yes,,,Yes,No,No,,No,,,,Si,No
No,Yes,Unknown,,02/23/2024,Still Seeking Employment,Economic and Political Development,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,,,,Job,Economic and Political Development,MPA,Private,Other – Business Services,Massachusetts Clean Energy Center ,,Workforce Development Fellowship,"Boston, ",MA,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,06/20/2023,Still Seeking Employment,Human Rights & Humanitarian Policy ,MIA,,,,,,,,,,,,,,,,,,,,Post Graduation,,"I have interviewed for one or more opportunities but have not received an offer of employment, I have applied for one or more opportunities but have not received an invitation to interview",,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Winter 2022/2023,,,per year,,,,,,,,,06/20/2023,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,06/13/2023,Job,No Concentration,MPA-MDP,Private,Consulting,Mathematica,International Research,Research Analyst,"Princeton,",NJ,United States,Research Analyst,,"o	$80,000-$84,999","o	$80,000-$84,999",,,,NJ,United States,Private,Technology,Post Graduation,Former Employer,,,,"Mathematica is the insight partner that illuminates the path to progress for public- and private-sector changemakers. We apply expertise at the intersection of data, methods, policy, and practice, translating big questions into deep insights that weather the toughest tests. Driven by our mission to improve public well-being, we collaborate closely with our clients to improve programs, refine strategies, and enhance understanding. Our more than 1,200 experts work across the country and around the globe, partnering with federal agencies, state and local governments, foundations, universities, professional associations, and businesses. Mathematica is reimagining the way the world gathers and uses data, surfacing evidence that guides decisions in areas ranging from health, education, child welfare, and family support to nutrition, employment, disability, criminal justice, and international development.",Yes,Yes,,,03/21/2023,,,,Female,,Yes,,,,Yes,,No,No,Graduate Facilitated,,,,,,,per year,,,,,,,,,06/13/2023,07/03/2023,07/03/2023,,,100% Remote,,,,No,,,Yes,No,No,,No,,,,No,No
Yes,Yes,30 Hours per week,For profit,06/13/2023,Job,International Finance and Economic Policy,MPA,Private,Consulting,McKinsey & Company,"SHAPE (Social, Healthcare and Public Sector)",Associate Consultant,"Washington, DC",,United States,Associate Consultant,,"o	$190,000-$194,999","o	$190,000-$194,999",,,,"Washington, DC",United States,Private,Consulting,Post Graduation,Job Posting,,,,"McKinsey is a management consulting firm advising leading companies on issues of strategy, organization, technology, and operations.",Yes,Yes,,United States (USA),07/31/2022,,,,Female,,Yes,,,,No,,No,Yes,School Facilitated,,,,,,,per year,,,,,"Additional signing bonus- $30,000",,,,06/13/2023,07/28/2023,07/28/2023,Washington - DC,United States (USA),On Site,Washington-Baltimore-Northern Virginia -- DC-MD-VA-WV,20036,District of Columbia,No,,,Yes,No,No,,No,,Applied directly on the company website,,Yes,No
Yes,No,,,,Job,Economic and Political Development,MPA,Nonprofit,Public Interest/Advocacy,MetroLab Network,,"
Generative AI Policy","New York,",NY,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,09/09/2023,Job,No Concentration,MPA-ESP,Private,Other – Business Services,Mid-Hudson Energy Transition,,Energy Innovation Associate,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,09/09/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,No Concentration,MPA-MDP,Private,Other – Business Services,Mindr,,Program Manager,"Brooklyn,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,No Concentration,MPA-EPM,Public,Foreign Government,Ministry of Energy,,Head of Special Projects at REPDO,"Riyadh, ",,Saudi Arabia,,,,,,,,,Saudi Arabia,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Economic and Political Development,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,International Finance and Economic Policy,MIA,Public,Foreign Government,Ministry of Finance,,International Development Policy,,,Japan,,,,,,,,,Japan,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,International Finance and Economic Policy,MPA,Public,Foreign Government,"Ministry of Finance, India",,Deputy Commissioner,,,India,,,,,,,,,India,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,International Finance and Economic Policy,MPA,Public,Foreign Government,"Ministry of Finance, Republic of indonesia",,Communication Strategist,"Jakarta,",,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,International Security Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,07/03/2023,Still Seeking Employment,Economic and Political Development,MIA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/03/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Job,DUAL MIA/MS: SIPA and Journalism,MIA,Nonprofit,Foundations/Institutions,Ethereum Foundation,,Next Billion Fellow,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Government,06/15/2023,Job,No Concentration,MPA-ESP,Public,Foreign Government,Ministry of Foreign Affairs of Brazil,Department of Energy within the Brazilian Foreign Affairs Ministry.,Second Secretary,"Brasilia,",,Brazil,Second Secretary,,"o	$190,000-$194,999","o	$190,000-$194,999",,,,,Brazil,Public,Foreign Government,Post Graduation,Former Employer,,,,,Yes,Yes,,Brazil,01/24/2023,,,,Female,,Yes,,,,Yes,,No,No,Graduate Facilitated,,,,,,,per year,,,,,"18,000 BRL (Brazilian reais) per month",,,,06/15/2023,08/12/2009,08/12/2009,Brasilia - Brazil,Brazil,On Site,Not US-Based Job,70170-900,Planning to work outside of the US,No,,,Yes,No,No,,No,,,,No,No
Yes,Yes,Still Seeking Employment,,08/29/2023,Still Seeking Employment,Economic and Political Development,MPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Other  ________________________________________________,,,per year,,,,,,,,,08/29/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,INTERNATIONAL SECURITY POLICY,MIA,Public,Foreign Government,Ministry of Foreign Affairs of Japan,,Diplomat / Government Official,"Tokyo,",,Japan,,,,,,,,,Japan,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,INTERNATIONAL SECURITY POLICY,MIA,Public,Foreign Government,Ministry of Foreign Affairs Singapore,,Country Officer,,,Singapore,,,,,,,,,Singapore,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,Economic and Political Development,MIA,Public,Foreign Government,"Ministry of Foreign Affairs, Government of Nepal",,Non-Gazetted First Class Officer,"Singhadurbar,",,Kathmandu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Government,10/29/2023,Job,International Finance and Economic Policy,MIA,Public,Foreign Government,Ministry of Trade of the Republic of Indonesia,,Trade Negotiator,"Jakarta,",,Indonesia,,,,,,,,,Indonesia,Public,Foreign Government,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,10/29/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,INTERNATIONAL SECURITY POLICY,MIA,Public,Foreign Government,Mission of Japan,,First Secretary,,,Ethiopia,,,,,,,,,Ethiopia,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/13/2023,Job,No Concentration,MPA-ESP,Private,Finance/Banking,Mizuho Bank Americas,"Corporate FX and Interest Rate Derivative Risk Solutions, Investment Banking Division",FX and Interest Rate Derivatives Analyst,"New York,",NY,United States,FX and Interest Rate Derivatives Analyst,,"o	$110,000-$114,999","o	$110,000-$114,999",,,,NY,United States,Private,Finance/Banking,Post Graduation,Personal Contact,,,,"Mizuho Bank Americas is composed of the branches, agencies and representative offices of Mizuho Bank, Ltd. in the Americas and its subsidiaries, Mizuho Bank (USA) and Banco Mizuho do Brasil S.A.Mizuho Bank, Ltd. is a member of the Japan-based Mizuho Financial Group, one of the world's largest financial institutions. Mizuho Financial Group operates in over 39 countries and regions around the world, with total assets of approximately USD1.58 trillion as of March 31, 2015.  Mizuho Bank Americas provides a broad range of services to major corporations, financial institutions and their group companies as well as public sector entities. Customized solutions in areas such as corporate and structured finance, investment banking, transaction banking and risk management products are supported by a global platform and are augmented by our network of affiliates in the Americas.  Among Mizuho Bank, Ltd.'s subsidiaries, Mizuho Bank (USA) is an FDIC-insured, New York State chartered bank and a member of the Federal Reserve System. As a wholesale commercial banking institution Mizuho Bank (USA), and its affiliates, complement traditional lending activities by providing a broad range of corporate financial products and services, including leasing and financial advisory services. In Brazil, Mizuho offers comprehensive banking services through its subsidiary Banco Mizuho do Brasil S.A. (""BMB""). BMB extends Mizuho’s global network further into Brazil and Latin America, with a business platform focusing on both local and international clients. Mizuho Bank (USA) and BMB also provide their multinational clients with access to the global markets through their parent company.  Mizuho Bank Americas has offices in twelve cities in the region, including New York, Los Angeles, Chicago, Houston, Atlanta, San Francisco, Toronto, Vancouver, Calgary, Mexico City, Sao Paulo and Santiago.",Yes,Yes,,United States (USA),06/09/2023,,,,Female,,Yes,,,,No,,No,Yes,Graduate Facilitated,,,,,,,per year,,,,,,,,,06/13/2023,07/05/2023,07/05/2023,New York - NY,United States (USA),On Site,New York-Newark-Bridgeport -- NY-NJ-CT-PA,,New York,No,,,Yes,No,No,,No,,,,Yes,No
Yes,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MPA,Private,Consulting,Monitor Deloitte,,Mergers and Acquisitions Analyst,,,China,,,,,,,,,China,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,07/13/2023,Job,International Finance and Economic Policy,MPA,Private,Finance/Banking,Morgan Stanley,"I work as an Associate in the Global Capital Markets team, focused in Latam Debt and Derivatives. I am part of the Experienced Professionals Program",Associate,"New York,",NY,United States,Associate,,"o	$180,000-$184,999","o	$180,000-$184,999",,,,NY,United States,Private,Finance/Banking,Post Graduation,Job Posting,,,,"Since its founding in 1935, Morgan Stanley and its people have helped redefine the meaning of financial services. The firm has continually broken new ground in advising our clients on strategic transactions, in pioneering the global expansion of finance and capital markets, and in providing new opportunities for individual and institutional investors. Click below to see a timeline of Morgan Stanley's growth, which parallels the history of modern finance.",Yes,Yes,,United States (USA),06/16/2023,,,,Male,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,I have a bonus but it is not specified,,,,07/13/2023,07/17/2023,07/17/2023,New York - NY,United States (USA),On Site,New York-Newark-Bridgeport -- NY-NJ-CT-PA,10036,New York,No,,,Yes,No,No,,No,,,,Yes,No
No,No,,,,Job,International Security Policy,MIA,Private,Finance/Banking,Morgan Stanley,,Vice President- Business Continuity & Resilience of U.S. Banks,"New York,",NY,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/19/2023,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,Private,Finance/Banking,Morgan Stanley,Investment Banking,Investment Banking Associate,"New York,",NY,United States,Investment Banking Associate,,"o	$175,000-$179,999","o	$175,000-$179,999",,,,NY,United States,Private,Finance/Banking,Post Graduation,Job Posting,,,,"Since its founding in 1935, Morgan Stanley and its people have helped redefine the meaning of financial services. The firm has continually broken new ground in advising our clients on strategic transactions, in pioneering the global expansion of finance and capital markets, and in providing new opportunities for individual and institutional investors. Click below to see a timeline of Morgan Stanley's growth, which parallels the history of modern finance.",Yes,Yes,,United States (USA),05/08/2023,,,,Female,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,,,,,06/19/2023,06/20/2023,06/20/2023,New York - NY,United States (USA),On Site,New York-Newark-Bridgeport -- NY-NJ-CT-PA,10036,New York,No,,,Yes,No,No,,No,,,,No,No
Yes,Yes,30 Hours per week,For profit,08/17/2023,Job,ENERGY AND ENVIRONMENT,MIA,Private,Finance/Banking,Morgan Stanley Infrastructure Partners,,Graduate Intern,"New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	I have not started actively applying.,,,per year,,,,,,,,,08/17/2023,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Job,Economic and Political Development,MIA,Private,Technology,TruePic,,Director of Public Affairs,"San Diego,",CA,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,02/23/2024,Job,International Finance and Economic Policy,MPA,Private,Finance/Banking,"Morningstar, Inc.",,"Morningstar Research Services LLC logo
Associate Equity Analyst","Chicago,",IL,United States,,,"o	$85,000-$89,999","o	$85,000-$89,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,No Concentration,MPA-EPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,09/24/2023,Job,International Finance and Economic Policy,MPA,Private,Finance/Banking,MSCI Inc,,ESG and Climate Product Management,"New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,09/24/2023,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Still Seeking Employment,,06/13/2023,Still Seeking Employment,Economic and Political Development,MPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
No,No,,,,Job,DUAL MPA/JD: SIPA & Administration & Law,MPA,Nonprofit,Public Interest/Advocacy,NAACP Legal Defense and Educational Fund,,"
Litigation Intern","Washington, DC",,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,ENERGY AND ENVIRONMENT,MPA,Nonprofit,Public Interest/Advocacy,National Emergency Managment Association,,Policy Analyst,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Non-profit,06/13/2023,Job,No Concentration,MPA-MDP,Nonprofit,Nongovernmental Organizations,National Endowment for Democracy,,Program Assistant,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Nongovernmental Organizations,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,07/03/2023,Still Seeking Employment,Economic and Political Development,MIA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/03/2023,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/13/2023,Job,ENERGY AND ENVIRONMENT,MPA,Private,Other – Business Services,National Grid,The Customer Energy Management team in the Energy Efficiency organization at National Grid- Northeast Division,Senior Analyst,"Waltham,",MA,United States,Senior Analyst,,"o	$100,000-$104,999","o	$100,000-$104,999",,,,MA,United States,Private,Other – Business Services,Post Graduation,LinkedIn Group,,,,We serve a total of 1.2 million customers in 168 Massachusetts communities and are an electricity distribution subsidiary of National Grid. Learn more about our company and its involvement in your community.,Yes,Yes,,United States (USA),01/10/2023,,,,Female,,Yes,,,,No,,No,Yes,School Facilitated,,,,,,,per year,,,,,Quarterly APP,,,,06/13/2023,03/13/2023,03/13/2023,Waltham - MA,United States (USA),Partially Remote,Boston-Worcester-Manchester -- MA-NH,02451,Massachusetts,No,,,Yes,No,No,,No,,Connected with a SIPA alum on LinkedIn who was so so very kind to take the time to speak to me and help me interview,,Yes,No
Yes,No,Unknown,,,Unreported,International Security Policy,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,No Concentration,MPA-EPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,Urban and Social Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,Urban and Social Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,,,,Job,ENERGY AND ENVIRONMENT,MIA,Public,U.S. Government,National Renewable Energy Laboratory,,Researcher II - Energy Equity,"Golden, ",CO,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Government,06/23/2023,Job,Urban and Social Policy,MPA,Public,State/Local Governments,New York City Department of Transportation,,Strategic Planning Aide in the Office of the Commissioner,"New York,",NY,United States,,,,,,,,NY,United States,Public,State/Local Governments,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/23/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,No Concentration,MPA-ESP,Private,Other – Business Services,NextEra Energy Resources,,Project Management Consultant,"Juno Beach,",FL,United States,,,,,,,,FL,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,ENERGY AND ENVIRONMENT,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,Urban and Social Policy,MPA,Private,Other – Business Services,"NHK, Japan Broadcasting Corportation",,Associate Producer,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Urban and Social Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Urban and Social Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
